Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Foot Locker,1185732,01/01/2020,Northeast,New York,New York,Men's Street Footwear,50,"1,200","600,000",300000.00,50%,In-store
Foot Locker,1185732,02/01/2020,Northeast,New York,New York,Men's Athletic Footwear,50,"1,000","500,000",150000.00,30%,In-store
Foot Locker,1185732,03/01/2020,Northeast,New York,New York,Women's Street Footwear,40,"1,000","400,000",140000.00,35%,In-store
Foot Locker,1185732,04/01/2020,Northeast,New York,New York,Women's Athletic Footwear,45,850,"382,500",133875.00,35%,In-store
Foot Locker,1185732,05/01/2020,Northeast,New York,New York,Men's Apparel,60,900,"540,000",162000.00,30%,In-store
Foot Locker,1185732,06/01/2020,Northeast,New York,New York,Women's Apparel,50,"1,000","500,000",125000.00,25%,In-store
Foot Locker,1185732,07/01/2020,Northeast,New York,New York,Men's Street Footwear,50,"1,250","625,000",312500.00,50%,In-store
Foot Locker,1185732,08/01/2020,Northeast,New York,New York,Men's Athletic Footwear,50,900,"450,000",135000.00,30%,Outlet
Foot Locker,1185732,21/01/2020,Northeast,New York,New York,Women's Street Footwear,40,950,"380,000",133000.00,35%,Outlet
Foot Locker,1185732,22/01/2020,Northeast,New York,New York,Women's Athletic Footwear,45,825,"371,250",129938.00,35%,Outlet
Foot Locker,1185732,23/01/2020,Northeast,New York,New York,Men's Apparel,60,900,"540,000",162000.00,30%,Outlet
Foot Locker,1185732,24/01/2020,Northeast,New York,New York,Women's Apparel,50,"1,000","500,000",125000.00,25%,Outlet
Foot Locker,1185732,25/01/2020,Northeast,New York,New York,Men's Street Footwear,50,"1,220","610,000",305000.00,50%,Outlet
Foot Locker,1185732,26/01/2020,Northeast,New York,New York,Men's Athletic Footwear,50,925,"462,500",138750.00,30%,Outlet
Foot Locker,1185732,27/01/2020,Northeast,New York,New York,Women's Street Footwear,40,950,"380,000",133000.00,35%,Outlet
Foot Locker,1185732,28/01/2020,Northeast,New York,New York,Women's Athletic Footwear,45,800,"360,000",126000.00,35%,Outlet
Foot Locker,1185732,29/01/2020,Northeast,New York,New York,Men's Apparel,60,850,"510,000",153000.00,30%,Outlet
Foot Locker,1185732,30/01/2020,Northeast,New York,New York,Women's Apparel,50,950,"475,000",118750.00,25%,Outlet
Foot Locker,1185732,31/01/2020,Northeast,New York,New York,Men's Street Footwear,50,"1,200","600,000",300000.00,50%,Outlet
Foot Locker,1185732,01/02/2020,Northeast,New York,New York,Men's Athletic Footwear,50,900,"450,000",135000.00,30%,Outlet
Foot Locker,1185732,02/02/2020,Northeast,New York,New York,Women's Street Footwear,40,900,"360,000",126000.00,35%,Outlet
Foot Locker,1185732,03/02/2020,Northeast,New York,New York,Women's Athletic Footwear,45,825,"371,250",129938.00,35%,Outlet
Foot Locker,1185732,04/02/2020,Northeast,New York,New York,Men's Apparel,60,825,"495,000",148500.00,30%,Outlet
Foot Locker,1185732,05/02/2020,Northeast,New York,New York,Women's Apparel,50,950,"475,000",118750.00,25%,Outlet
Foot Locker,1185732,06/02/2020,Northeast,New York,New York,Men's Street Footwear,60,"1,220","732,000",366000.00,50%,Outlet
Foot Locker,1185732,07/02/2020,Northeast,New York,New York,Men's Athletic Footwear,55,925,"508,750",152625.00,30%,Outlet
Foot Locker,1185732,08/02/2020,Northeast,New York,New York,Women's Street Footwear,50,900,"450,000",157500.00,35%,Outlet
Foot Locker,1185732,09/02/2020,Northeast,New York,New York,Women's Athletic Footwear,50,850,"425,000",148750.00,35%,Outlet
Foot Locker,1185732,10/02/2020,Northeast,New York,New York,Men's Apparel,60,875,"525,000",157500.00,30%,Outlet
Foot Locker,1185732,03/03/2020,Northeast,New York,New York,Women's Apparel,65,"1,000","650,000",162500.00,25%,Outlet
Foot Locker,1185732,04/03/2020,Northeast,New York,New York,Men's Street Footwear,60,"1,250","750,000",375000.00,50%,Outlet
Foot Locker,1185732,05/03/2020,Northeast,New York,New York,Men's Athletic Footwear,55,"1,000","550,000",165000.00,30%,Outlet
Foot Locker,1185732,06/03/2020,Northeast,New York,New York,Women's Street Footwear,50,925,"462,500",161875.00,35%,Outlet
